F1_VAR_on_ACC_V,class
2.125440961009417e-07,mirovanje
2.135831864702453e-07,mirovanje
1.7635840099394787e-07,mirovanje
2.405700443297576e-07,mirovanje
2.4315409308250935e-07,mirovanje
1.9628822922612699e-07,mirovanje
2.1465391797370614e-07,mirovanje
1.7776459038110207e-07,mirovanje
2.2421080592138765e-07,mirovanje
2.3498243506558938e-07,mirovanje
3.0316854005008054e-07,mirovanje
2.85491548179806e-07,mirovanje
1.52604465952777e-07,mirovanje
2.265695817627034e-07,mirovanje
2.529543878804219e-07,mirovanje
1.546493459958498e-07,mirovanje
1.7708872857014057e-07,mirovanje
2.498914899451421e-07,mirovanje
1.5462327485060714e-07,mirovanje
1.9823664421103612e-07,mirovanje
1.277886425565811e-07,mirovanje
1.5664998720410497e-07,mirovanje
1.9771726655903882e-07,mirovanje
2.2858728754293625e-07,mirovanje
1.0201210542959417e-07,mirovanje
1.0229490832180944e-07,mirovanje
1.96480508085628e-07,mirovanje
1.532870839149325e-07,mirovanje
2.391566924497824e-07,mirovanje
1.3045521463084242e-07,mirovanje
2.388641531236857e-07,mirovanje
1.774224915873646e-07,mirovanje
2.246270416339513e-07,mirovanje
1.7737731616840338e-07,mirovanje
2.1616725121020866e-07,mirovanje
1.558655426947553e-07,mirovanje
2.119622550811329e-07,mirovanje
2.114555999188639e-07,mirovanje
1.775012918869834e-07,mirovanje
2.0627362640190938e-07,mirovanje
2.341370355374295e-07,mirovanje
1.4977143347749688e-07,mirovanje
1.56288245678482e-07,mirovanje
1.769842592480586e-07,mirovanje
1.7629356352522055e-07,mirovanje
1.7718579092829145e-07,mirovanje
1.282445427630563e-07,mirovanje
2.104137886149715e-07,mirovanje
7.154427206224058e-08,mirovanje
1.7914840011457045e-07,mirovanje
1.320654208214478e-07,mirovanje
1.5284319165864704e-07,mirovanje
1.0238921754890384e-07,mirovanje
1.2872432919586174e-07,mirovanje
1.9578472310044506e-07,mirovanje
1.5627376659388406e-07,mirovanje
3.662672356519181e-07,mirovanje
5.219432379632849e-07,mirovanje
7.607555441158098e-07,mirovanje
2.287675353596086e-07,mirovanje
0.4189081164254014,velika_jakost
1.689886565977337,velika_jakost
1.2953874846062052,velika_jakost
0.8836143706260726,velika_jakost
1.2125698029189378,velika_jakost
1.189953630870189,velika_jakost
1.2664554005091162,velika_jakost
0.6759841605558403,velika_jakost
0.0941115082434218,velika_jakost
0.1393592757206876,velika_jakost
0.2190773339638352,velika_jakost
0.2301934397489591,velika_jakost
0.1363272251634359,velika_jakost
0.071468501064458,velika_jakost
0.4972494192367906,velika_jakost
0.9235795223255644,velika_jakost
1.2767990974892005,velika_jakost
0.7447685974285099,velika_jakost
0.3264881038980052,velika_jakost
1.5368451454716894,velika_jakost
1.1641763168648571,velika_jakost
1.5486926922189568,velika_jakost
1.075817383277995,velika_jakost
1.3140171694347125,velika_jakost
0.4418491213834103,velika_jakost
0.2946075671590971,velika_jakost
0.1303755485097044,velika_jakost
0.1849860952298225,velika_jakost
0.3794514385769909,velika_jakost
0.0933957126712576,velika_jakost
0.0499325884250674,velika_jakost
0.6026862717558097,velika_jakost
0.8305501978642305,velika_jakost
0.6900571118237258,velika_jakost
0.9262981565212298,velika_jakost
0.378704315096614,velika_jakost
0.8527119783187764,velika_jakost
0.2809769050516795,velika_jakost
0.1845540249070836,velika_jakost
0.4572028103327663,velika_jakost
0.1365974764591888,velika_jakost
0.2357996048884338,velika_jakost
0.55549398356318,velika_jakost
0.3259003106788491,velika_jakost
0.7883933733270942,velika_jakost
0.1795873242427621,velika_jakost
0.252116988108551,velika_jakost
0.1559963472871495,velika_jakost
0.2896956623829663,velika_jakost
0.3017397959869088,velika_jakost
0.2576575364275286,velika_jakost
0.9177999659521204,velika_jakost
0.48622174665888,velika_jakost
0.8387081337970379,velika_jakost
0.9345748185069942,velika_jakost
0.8628530065076143,velika_jakost
1.018181099043025,velika_jakost
1.175046352315135,velika_jakost
0.6899635260845658,velika_jakost
1.0114531666535425,velika_jakost
0.5916831461652663,velika_jakost
0.8394560780939138,velika_jakost
0.0276461897914714,srednja_jakost
0.1206151106411184,srednja_jakost
0.1197193017319874,srednja_jakost
0.0878651324965356,srednja_jakost
0.0337719389496906,srednja_jakost
0.0019271607023747,srednja_jakost
0.0039899032403425,srednja_jakost
0.0076118196489904,srednja_jakost
0.0030803414735429,srednja_jakost
0.0056753426748141,srednja_jakost
0.0019817663573351,srednja_jakost
0.0005340983449735,srednja_jakost
0.0009320109346195,srednja_jakost
0.0012060003988718,srednja_jakost
0.0005588804658969,srednja_jakost
0.0003205442442686,srednja_jakost
0.0001481412820276,srednja_jakost
0.0008282782105166,srednja_jakost
0.0023051242864828,srednja_jakost
0.011822069045693,srednja_jakost
0.0457890843849462,srednja_jakost
0.0158665396112669,srednja_jakost
0.0066883183863393,srednja_jakost
0.0036212905898789,srednja_jakost
0.0016677716434501,srednja_jakost
0.0051272270016988,srednja_jakost
0.0036321538278922,srednja_jakost
0.0059205268954878,srednja_jakost
0.0501201012557958,srednja_jakost
0.0334264652492981,srednja_jakost
0.0080850789797193,srednja_jakost
0.000963928115869,srednja_jakost
0.0013490174161936,srednja_jakost
0.0025305003849902,srednja_jakost
0.0033182736208301,srednja_jakost
0.0019278846789055,srednja_jakost
0.0015266917308967,srednja_jakost
0.0023004230255656,srednja_jakost
0.002486942133816,srednja_jakost
0.0075112182104564,srednja_jakost
0.001812167889275,srednja_jakost
0.0023805788800363,srednja_jakost
0.0821557481736737,srednja_jakost
0.0327524661588163,srednja_jakost
0.004957499299536,srednja_jakost
0.0412269116193495,srednja_jakost
0.0877099584506622,srednja_jakost
0.0194527830781314,srednja_jakost
0.0293174581503397,srednja_jakost
0.0174562181381132,srednja_jakost
0.0066270600051365,srednja_jakost
0.1591860111940948,srednja_jakost
0.1013965369650606,srednja_jakost
0.0895099618085237,srednja_jakost
0.0862856719602347,srednja_jakost
0.055174745847931,srednja_jakost
0.0210447479764857,srednja_jakost
0.0308010727255001,srednja_jakost
0.0096359424366087,srednja_jakost
0.0054451402802153,srednja_jakost
0.004580693237272,srednja_jakost
0.0071572322502277,srednja_jakost
